Ref,Val,Package,PosX,PosY,Rot,Side
"","","",74.200000,-26.800000,0.000000,top
"","","",56.855000,-87.700000,0.000000,top
"5V_IN1","Conn_01x02_Female","PinHeader_1x02_P2.54mm_Vertical",59.960000,-35.540000,0.000000,top
"AUX_CONN1","Conn_01x04_Female","PinHeader_1x04_P2.54mm_Vertical",105.210000,-69.865000,0.000000,top
"AUX_CONN2","Conn_01x04_Female","PinHeader_1x04_P2.54mm_Vertical",101.860000,-89.315000,180.000000,top
"AUX_CONN3","Conn_01x04_Female","PinHeader_1x04_P2.54mm_Vertical",113.160000,-89.315000,180.000000,top
"AUX_CONN4","Conn_01x04_Female","PinHeader_1x04_P2.54mm_Vertical",122.460000,-89.315000,180.000000,top
"BT1","Battery_Cell","JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",73.305000,-29.315000,0.000000,top
"C1","4.7uF","C_1206_3216Metric",69.410000,-38.865000,-90.000000,top
"C2","4.7uF","C_1206_3216Metric",74.560000,-38.600000,0.000000,top
"C3","10uF","C_1206_3216Metric",83.160000,-42.115000,90.000000,top
"C4","10uF","C_1206_3216Metric",94.360000,-40.415000,90.000000,top
"C5","1uF","C_0805_2012Metric",122.360000,-36.615000,90.000000,top
"C6","1uF","C_0805_2012Metric",114.660000,-39.715000,180.000000,top
"C7","1uF","C_0805_2012Metric",126.760000,-36.615000,-90.000000,top
"C8","1uF","C_0805_2012Metric",124.560000,-36.615000,-90.000000,top
"C9","10uF","C_0805_2012Metric",124.460000,-32.215000,90.000000,top
"C10","10uF","C_0805_2012Metric",126.660000,-32.215000,90.000000,top
"C12","100nF","C_0805_2012Metric",129.860000,-43.115000,-90.000000,top
"C13","100nF","C_0805_2012Metric",132.160000,-43.115000,90.000000,top
"C15","1nF","C_0805_2012Metric",83.860000,-62.415000,-90.000000,top
"C16","1nF","C_0805_2012Metric",68.260000,-60.115000,-90.000000,top
"C17","10uF","C_0805_2012Metric",104.260000,-47.215000,0.000000,top
"D1","D_Schottky","D_SOD-123",66.160000,-44.515000,180.000000,top
"D2","LED_BLUE","C_0805_2012Metric",97.510000,-70.015000,90.000000,top
"D3","PWR_LED","LED_0805_2012Metric",66.760000,-50.415000,90.000000,top
"D4","PWR_LED","LED_0805_2012Metric",62.360000,-50.515000,-90.000000,top
"D5","D_Schottky","D_SOD-123",64.560000,-35.115000,0.000000,top
"D6","LED_GREEN","C_0805_2012Metric",95.010000,-70.015000,90.000000,top
"EXT_BATT1","Conn_01x02_Female","PinHeader_1x02_P2.54mm_Vertical",73.335000,-33.815000,90.000000,top
"IC1","MiCS-6814","SENSOR_MICS-6814",79.255000,-52.400000,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",54.360000,-37.215000,-90.000000,top
"J2","PMS7003","PMS7003",79.960000,-72.515000,180.000000,top
"L1","4.7uH","C_0805_2012Metric",87.860000,-40.115000,90.000000,top
"MOUNT4","MountingHole_3.2mm_M3_ISO7380_Pad","MountingHole_3.2mm_M3_ISO7380_Pad",132.755000,-87.900000,0.000000,top
"Q1","SUD08P06-155L","TO-252-2",76.227000,-43.758200,0.000000,top
"R1","2k","C_0805_2012Metric",62.260000,-42.115000,0.000000,top
"R2","10k","C_0805_2012Metric",110.960000,-39.715000,180.000000,top
"R3","10k","C_0805_2012Metric",107.060000,-42.815000,0.000000,top
"R4","10k","C_0805_2012Metric",65.860000,-42.115000,180.000000,top
"R5","10k","C_0805_2012Metric",106.960000,-39.765000,0.000000,top
"R6","330k","C_0805_2012Metric",122.260000,-32.215000,90.000000,top
"R7","220k","C_0805_2012Metric",89.860000,-46.815000,-90.000000,top
"R8","220k","C_0805_2012Metric",95.660000,-46.815000,-90.000000,top
"R9","68k","C_0805_2012Metric",92.660000,-46.815000,-90.000000,top
"R10","820","C_0805_2012Metric",84.760000,-49.465000,-90.000000,top
"R11","1k5","C_0805_2012Metric",99.410000,-74.815000,180.000000,top
"R12","1k5","C_0805_2012Metric",100.360000,-76.915000,180.000000,top
"R17","4k7","C_0805_2012Metric",124.060000,-43.165000,-90.000000,top
"R18","4k7","C_0805_2012Metric",121.760000,-43.165000,-90.000000,top
"R19","27","C_0805_2012Metric",81.460000,-56.715000,0.000000,top
"R20","130","C_0805_2012Metric",73.260000,-54.615000,-90.000000,top
"R22","10k","C_0805_2012Metric",63.460000,-77.315000,-90.000000,top
