Reference, Quantity, Value, Footprint, Datasheet, LCSC, mfr_part_num, Mouser
EXT_BATT1 5V_IN1 ,2,"Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","C124375","C124375",""
AUX_CONN1 AUX_CONN2 AUX_CONN3 AUX_CONN4 ,4,"Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","C124413","C124413",""
BT1 ,1,"Battery_Cell","Connector_JST:JST_EH_S2B-EH_1x02_P2.50mm_Horizontal","~","C225399","A2501WR-2P",""
C1 C2 C3 ,3,"4.7uF","Capacitor_SMD:C_1206_3216Metric","~","C412617",""," 963-UMJ316BC7475KLHT "
C11 C14 C17 ,3,"10uF","Capacitor_SMD:C_0805_2012Metric","~"," C40894 ","","0805X106K250NT"
C12 C13 ,2,"100nF","Capacitor_SMD:C_0805_2012Metric","~","C49678","","CC0805KRX7R9BB104"
C15 C16 ,2,"1nF","Capacitor_SMD:C_0805_2012Metric","~","C309046","","TCC0805X7R102K501DTS"
C4 C6 C7 C8 C10 ,5,"1uF","Capacitor_SMD:C_0805_2012Metric","~","C28323",""," 187-CL21B105KBFNNNE "
C5 ,1,"22uF","Capacitor_SMD:C_0805_2012Metric","~","C45783",""," 187-CL21A226MAQNNNE "
D1 D5 ,2,"D_Schottky","Diode_SMD:D_SOD-123","~","C8598",""," 833-B5819W-TP "
D3 D4 ,2,"PWR_LED","LED_SMD:LED_0805_2012Metric","~","C72037",""," 755-SML-H12U8TT86C "
J1 ,1,"USB_B_Micro","Connector_USB:USB_Micro-B_GCT_USB3076-30-A","~","C404969","MicroXNJ",""
J2 ,1,"PMS7003","mics:PMS7003","https://www.espruino.com/datasheets/PMS7003.pdf","C84815 ","PMS7003",""
L1 ,1,"2.2uH","Capacitor_SMD:C_0805_2012Metric","~","C1043",""," 652-CVH201205-2R2M "
Q1 ,1,"SUD08P06-155L","Package_TO_SOT_SMD:TO-252-2","https://www.vishay.com/docs/62843/sud08p06-155l-ge3.pdf","C558294",""," 781-SUD08P06-155L-E3 "
Q2 Q3 ,2,"SS8050_NPN","mics:sot-23-3","","C2150",""," 750-SS8050-G "
R1 R15 R25 ,3,"2k","Capacitor_SMD:C_0805_2012Metric","~","C328391","","AECR0805F2K00K9"
R10 ,1,"820","Capacitor_SMD:C_0805_2012Metric","~","C352174","","AECR0805F820RK9"
R11 R12 R13 R14 R16 ,5,"1k","Capacitor_SMD:C_0805_2012Metric","~","C416075","","CR-05FL7----1K"
R17 R18 ,2,"4.7k","Capacitor_SMD:C_0805_2012Metric","~"," C844941 ","","CRCW08054K70FKEA"
R19 ,1,"27","Capacitor_SMD:C_0805_2012Metric","~","C104178","","RTT0527R0FTP"
R2 ,1,"2M","Capacitor_SMD:C_0805_2012Metric","","C325853","","RMC08052M5%N"
R20 ,1,"130","Capacitor_SMD:C_0805_2012Metric","~"," C17451 ","","CR0805-FX-1300ELF"
R21 ,1,"330k","Capacitor_SMD:C_0805_2012Metric","~"," C328392 ","","AECR0805F330KK9"
R24 R26 R28 ,3,"470","Capacitor_SMD:C_0805_2012Metric","~","C136570","",""
R27 ,1,"5.1k","Capacitor_SMD:C_0805_2012Metric","~","C328405",""," 71-CRCW06035K10FKEAC "
R3 ,1,"180k","Capacitor_SMD:C_0805_2012Metric","~"," C352261 ","","AECR0805F180KK9"
R4 R7 R8 R9 R22 R23 ,6,"10k","Capacitor_SMD:C_0805_2012Metric","~","C269724",""," 71-TNPU080510K0AWEN "
SW1 SW2 ,2,"RESET","Button_Switch_SMD:SW_SPST_Omron_B3FS-101xP","~","C589246","ST-1102W-4.3",""
U1 ,1,"MCP73831-2-OT","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","C424093",""," 579-MCP73831T-2ACIOT "
U2 ,1,"TPS61200DRC","Package_SON:Texas_S-PVSON-N10_ThermalVias","http://www.ti.com/lit/ds/symlink/tps61200.pdf","C140320",""," 595-TPS61200DRCR "
U3 ,1,"ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","C82899",""," 356-ESPWROOM3216MB "
U4 ,1,"SSD1306","mics:SSD1306_OLED-0.91-128x32","https://datasheet.lcsc.com/szlcsc/1809291515_Shenzhen-Allvision-Tech-QG-2832TLBFG02_C91220.pdf","C91220","QG-2832TLBFG02",""
U5 ,1,"BME680","Package_LGA:Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering","https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BME680-DS001.pdf","C125972","BME680"," 262-BME680 "
U7 ,1,"AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","C369933","AMS1117-3.3"," 595-REG1117-3.3/2K5 "
