Ref,Val,Package,PosX,PosY,Rot,Side
"","","",74.200000,-26.800000,0.000000,top
"","","",34.395000,-94.685000,0.000000,top
"5V_IN1","Conn_01x02_Female","PinHeader_1x02_P2.54mm_Vertical",37.500000,-42.525000,0.000000,top
"AUX_CONN1","Conn_01x04_Female","PinHeader_1x04_P2.54mm_Vertical",85.000000,-96.300000,180.000000,top
"AUX_CONN2","Conn_01x04_Female","PinHeader_1x04_P2.54mm_Vertical",90.000000,-96.300000,180.000000,top
"AUX_CONN3","Conn_01x04_Female","PinHeader_1x04_P2.54mm_Vertical",95.000000,-96.300000,180.000000,top
"AUX_CONN4","Conn_01x04_Female","PinHeader_1x04_P2.54mm_Vertical",100.000000,-96.300000,180.000000,top
"BT1","Battery_Cell","JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",50.845000,-35.532500,0.000000,top
"C1","4.7uF","C_1206_3216Metric",46.950000,-45.850000,-90.000000,top
"C2","4.7uF","C_1206_3216Metric",52.100000,-45.585000,0.000000,top
"C3","4.7uF","C_1206_3216Metric",60.700000,-49.100000,90.000000,top
"C4","1uF","C_0805_2012Metric",72.300000,-47.500000,90.000000,top
"C5","22uF","C_0805_2012Metric",43.400000,-51.300000,180.000000,top
"C6","1uF","C_0805_2012Metric",99.800000,-43.650000,90.000000,top
"C7","1uF","C_0805_2012Metric",92.200000,-46.850000,180.000000,top
"C8","1uF","C_0805_2012Metric",101.950000,-43.650000,-90.000000,top
"C10","1uF","C_0805_2012Metric",104.100000,-43.650000,-90.000000,top
"C11","10uF","C_0805_2012Metric",102.000000,-39.200000,90.000000,top
"C12","100nF","C_0805_2012Metric",107.400000,-50.100000,-90.000000,top
"C13","100nF","C_0805_2012Metric",109.700000,-50.100000,90.000000,top
"C14","10uF","C_0805_2012Metric",104.200000,-39.200000,90.000000,top
"C15","1nF","C_0805_2012Metric",61.400000,-69.400000,-90.000000,top
"C16","1nF","C_0805_2012Metric",45.800000,-67.100000,-90.000000,top
"C17","10uF","C_0805_2012Metric",81.800000,-54.200000,0.000000,top
"D1","D_Schottky","D_SOD-123",43.750000,-53.550000,180.000000,top
"D3","PWR_LED","LED_0805_2012Metric",46.800000,-57.450000,90.000000,top
"D4","PWR_LED","LED_0805_2012Metric",39.900000,-57.500000,-90.000000,top
"D5","D_Schottky","D_SOD-123",42.100000,-42.100000,0.000000,top
"EXT_BATT1","Conn_01x02_Female","PinHeader_1x02_P2.54mm_Vertical",50.775000,-39.900000,90.000000,top
"IC1","MiCS-6814","SENSOR_MICS-6814",56.795000,-59.385000,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_GCT_USB3076-30-A",31.900000,-44.200000,-90.000000,top
"J2","PMS7003","PMS7003",57.500000,-79.500000,180.000000,top
"L1","2.2uH","C_0805_2012Metric",65.500000,-51.200000,-90.000000,top
"MOUNT4","MountingHole_3.2mm_M3_ISO7380_Pad","MountingHole_3.2mm_M3_ISO7380_Pad",110.295000,-94.885000,0.000000,top
"Q1","SUD08P06-155L","TO-252-2",53.767000,-50.743200,0.000000,top
"Q2","SS8050_NPN","sot-23-3",74.000000,-77.719000,180.000000,top
"Q3","SS8050_NPN","sot-23-3",89.000000,-81.685000,0.000000,top
"R1","2k","C_0805_2012Metric",39.800000,-49.100000,0.000000,top
"R2","2M","C_0805_2012Metric",63.200000,-51.200000,90.000000,top
"R3","180k","C_0805_2012Metric",63.200000,-47.200000,90.000000,top
"R4","10k","C_0805_2012Metric",43.400000,-49.100000,180.000000,top
"R7","10k","C_0805_2012Metric",88.450000,-46.850000,180.000000,top
"R8","10k","C_0805_2012Metric",84.495000,-49.735000,0.000000,top
"R9","10k","C_0805_2012Metric",84.500000,-46.900000,0.000000,top
"R10","820","C_0805_2012Metric",62.300000,-56.600000,-90.000000,top
"R11","1k","C_0805_2012Metric",78.500000,-76.450000,180.000000,top
"R12","1k","C_0805_2012Metric",82.700000,-81.200000,90.000000,top
"R13","1k","C_0805_2012Metric",80.000000,-81.200000,0.000000,top
"R14","1k","C_0805_2012Metric",84.900000,-81.200000,90.000000,top
"R15","2k","C_0805_2012Metric",80.000000,-86.800000,180.000000,top
"R16","1k","C_0805_2012Metric",80.000000,-84.600000,0.000000,top
"R17","4.7k","C_0805_2012Metric",101.600000,-50.150000,90.000000,top
"R18","4.7k","C_0805_2012Metric",99.300000,-50.150000,90.000000,top
"R19","27","C_0805_2012Metric",58.000000,-64.500000,-90.000000,top
"R20","130","C_0805_2012Metric",50.800000,-61.600000,-90.000000,top
"R21","330k","C_0805_2012Metric",99.800000,-39.200000,90.000000,top
"R22","10k","C_0805_2012Metric",41.000000,-84.300000,90.000000,top
"R23","10k","C_0805_2012Metric",38.700000,-84.300000,90.000000,top
"R24","470","C_0805_2012Metric",61.400000,-73.000000,-90.000000,top
"R25","2k","C_0805_2012Metric",44.500000,-57.500000,90.000000,top
"R26","470","C_0805_2012Metric",43.800000,-67.095000,90.000000,top
"R27","5.1k","C_0805_2012Metric",65.700000,-76.700000,90.000000,top
"R28","470","C_0805_2012Metric",42.200000,-57.500000,90.000000,top
"REF**","MountingHole_3.2mm_M3_ISO7380_Pad","MountingHole_3.2mm_M3_ISO7380_Pad",110.295000,-32.885000,0.000000,top
"REF**","MountingHole_3.2mm_M3_ISO7380_Pad","MountingHole_3.2mm_M3_ISO7380_Pad",33.295000,-32.885000,0.000000,top
"SW1","RESET","SW_SPST_Omron_B3FS-101xP",54.000000,-69.900000,180.000000,top
"SW2","RESET","SW_SPST_Omron_B3FS-101xP",35.000000,-56.000000,90.000000,top
"U1","MCP73831-2-OT","SOT-23-5",43.795000,-45.235000,90.000000,top
"U2","TPS61200DRC","Texas_S-PVSON-N10_ThermalVias",67.862200,-47.215600,180.000000,top
"U3","ESP32-WROOM-32","ESP32-WROOM-32",74.040000,-65.135000,-90.000000,top
"U4","SSD1306","SSD1306_OLED-0.91-128x32",56.611800,-33.039400,0.000000,top
"U5","BME680","Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering",104.498300,-50.114900,180.000000,top
"U6","MH-Z19B","Winsen_MH-Z19B",111.625000,-84.437500,-90.000000,top
"U7","AMS1117-3.3","SOT-223-3_TabPin2",78.295000,-48.285000,0.000000,top
